Common_Name,Country,Industry,Sector,mean_DF_E,total_DF_E,Analyst_View,Deforestation_statement,ESG_controversies,Total_news_count_Nodu,mean_news_count,assets,sales,book_equity,net_income,enterprise_value,gp_at,ni_be,ope_be,debt_bev,cash_lt,lt_ppen,debt_at,age
1,United States,Industrial Conglomerates,Industrials,0.427260951,0.427260951,"The company is at high risk of experiencing material financial impacts from ESG factors, due to its high exposure and average management of material ESG issues. Notably, its overall risk is higher since it is materially exposed to significantly more ESG issues than most companies in our universe. The company is noted for its strong corporate governance performance, which is reducing its overall risk. Despite its management policies and programmes, the company has experienced a high level of controversies. 3M Company is a global industrial conglomerate headquartered in the US and sells over 55,000 products. In FY2020, 3M generated USD 32.1 bn in revenue through four segments: safety and industrial, transportation and electronics, healthcare, and consumer. More than 50% of the company's revenue comes from outside the US, with the safety and industrial segment (36.5%) accounting for the largest share of the firm's net sales in 2020.?  3M has a highly diversified product portfolio of over 55,000 products. Any quality issue or safety defect could result in costly product recalls and lawsuits. These issues can also result in a loss of customer confidence, potentially leading to lower sales. Additionally, 3M¡¯s large production volumes and global customer base expose the company to risks from complying with several compliance and accounting regulations in different regions. The company is also exposed to corruption risks as it is involved in projects with governments who are both customers and regulators. Lastly, through its manufacturing operations and the use of solvent-based substances, 3M generates large amounts of VOC emissions and toxic effluents. The company may face higher remediation costs to clean polluted sites and lawsuits from local regulators if it fails to comply with legal requirements. The company's overall exposure is high and is similar to subindustry average. Emissions, Effluents and Waste, Product Governance and Business Ethics  are notable material ESG issues. 3M has formal commitments to address product quality and safety. However, the company has been involved in incidents related to the faulty functioning of its products. Room for improvement exists in conducting safety risk assessments and disclosing the percentage of sites certified to best-practice quality management standards. Regarding the management of business ethics risks, 3M has a bribery and corruption programme that follows best practices and an independent whistleblower system that supports anonymous reporting. Lastly, in terms of effluent and emissions management, 3M discloses limited information on how it manages hazardous waste and effluents, with no reporting available on initiatives to reduce, reuse or recycle effluents. 3M has also been involved in significant controversies over groundwater contamination across the US and is facing multiple lawsuits.? The company's overall management of material ESG issues is average.",none,high,4,0.5,39678.375,31183.8541666667,12542.625,3761.83333333333,102469.87900685,0.424736392791952,0.193276187261768,0.675390608599132,0.606535199891548,0.147683066666914,2.89466390825722,0.338804613563389,876.125
2,Sweden,Food Products,Consumer Staples,278.493097234667,835.4792917,"The company is at high risk of experiencing material financial impacts from ESG factors, due to its medium exposure and average management of material ESG issues. Notably, its overall risk is higher since it is materially exposed to more ESG issues than most companies in our universe. The company has experienced a moderate level of controversies. AAK AB develops and supplies vegetable oil solutions to the food, confectionery and cosmetics industries. The company operates through three segments: Food Ingredients (solutions for the bakery, dairy and special nutrition industries, 67% of FY2018 net sales), Chocolate and Confectionery Fats (functional cocoa butter alternatives for chocolate, 28%) and Technical Products and Feed (fatty acids and glycerine, 5%). As of year-end 2018, AAK had 20 production facilities and customization plants. AAK caters to a variety of industries and sectors that, through their products, reach millions of consumers worldwide. Some of these, such as the infant, medical and senior nutrition sectors target a particularly vulnerable consumer group, which underlines quality and safety issues as an area of exposure for AAK. Furthermore, AAK has an extensive network of production and customization facilities worldwide, which add up to an energy and carbon intensive operation. Failure to integrate green technologies into its processes could translate into lost cost saving opportunities. Additionally, oils and fats are consistently named among the main culprits for obesity and cardiovascular diseases. While consumers adjust their eating habits, fat and vegetable oil producers such as AAK face the challenge to reduce the content of trans and saturated fatty acids in their products. The company's overall exposure is medium and is similar to subindustry average. Carbon - Own Operations, E&S Impact of Products and Services and Product Governance  are notable material ESG issues. AAK's overall ESG-related disclosure is not in accordance with GRI reporting standards, lagging behind best practice. In contrast, the company demonstrates best practice with regards to ESG issues oversight. The company¡¯s global CSR Manager reports to the Executive Committee, while its Audit Committee is responsible for monitoring the follow-up and reporting of CSR topics, codes and policies. In the past three years, AAK, along with various industry peers has been named in NGO reports addressing issues in their palm oil supply chains, such as deforestation, conflicts with indigenous communities and alleged human rights violations. The company's overall management of material ESG issues is average.",negative,moderate,5,0.625,2211.28307654129,3223.82800153419,1062.55469679299,149.069125962417,4335.7259915428,0.349739670464272,0.143013332699023,0.255685113975501,0.339972592087466,0.0723403845553534,1.91491436180933,0.21793987502849,420.125
3,United States,Commercial Services & Supplies,Industrials,8.388238609,8.388238609,"In consideration of the company's medium exposure and average management, we view the company to be at low risk of material financial impacts driven by ESG factors. ABM Industries is a provider of integrated facility solutions. Companies in this subindustry face the highest risk exposure in the following material ESG issues: Emissions, Effluents and Waste, Human Capital and Product Sustainability. The company's disclosure is strong, signaling a high degree of accountability to investors and the public. It has some initiatives to manage risks related to material ESG issues, however, the initiatives are not sufficient to manage all of its risks. Nevertheless, the company has not been implicated in any significant ESG-related controversies.",none,no,0,0,3352.32369444444,5979.14045138889,1351.53002083333,106.6374375,2992.3719453974,0.228110745995327,0.0758916744636984,0.198289482561645,0.35817100305676,0.047523509190331,14.0376174450093,0.214471509092149,684.125
4,United States,Food Products,Consumer Staples,61697.1409,555274.2681,"The company is at high risk of experiencing material financial impacts from ESG factors, due to its high exposure and average management of material ESG issues. Notably, its overall risk is higher since it is materially exposed to more ESG issues than most companies in our universe. The company is noted for its strong corporate governance performance, which is reducing its overall risk. Despite its management policies and programmes, the company has experienced a high level of controversies. Archer-Daniels  Midland Co (ADM) is one of the worldâ€™s largest agricultural crops processors,  with clients in nearly 200 countries, offering food ingredients, supplements,  animal nutrition, fuel, and industrial-, logistics, - farmer-, and financial  services. The company operates over 350 manufacturing facilities and 55  innovation centers. ADM procures agricultural commodities worldwide,  from approximately 480 procurement locations. The  companyâ€™s production and logistics activities contribute to ADMâ€™s sizeable  industrial footprint. The effects of climate change have a potentially large  impact on the company and its agricultural supply chain in particular. Among  agricultural commodities sourced by ADM are palm oil and soy. These commodities  are widely associated with issues pertaining to deforestation, human rights  violations and community relations issues. The company sources high volumes of  soy from Brazil, where particularly sensitive biomes and indigenous peoples are  threatened by land use change for agriculture.   The company's overall exposure is high and is similar to subindustry average. Carbon - Own Operations, Human Rights - Supply Chain and Land Use and Biodiversity - Supply Chain  are notable material ESG issues. In 2019 ADM  established a board-level Sustainability Committee to its sustainability agenda  at the highest level. ADMâ€™s sustainability efforts are led by the companyâ€™s  Chief Sustainability Officer, supported by regional sustainability teams. Sustainability-related  risks are reviewed quarterly through the companyâ€™s Enterprise Risk Management  process. ADMâ€™s sustainability efforts focus on four main topics; Climate  Action, Clean Water and Sanitation, Zero Hunger, and Life on Land. ADM states that  it has aligned its efforts with the UN Sustainable Development Goals. The  company formulated new targets for 2035, having met all its previous  environmental targets for the year 2019. The company has dedicated action plans  in place for palm oil and soy, as well as KPIâ€™s related to sustainable  agriculture. The company's overall management of material ESG issues is average.",negative,high,6,0.75,41921.8125,69080.6875,19951.96875,1586.472222,27283.58979,0.117641576,0.079047115,0.124676808,0.390932401,0.269387377,2.239746255,0.194562656,1097.166667
5,United States,Utilities,Utilities,28.53569502,57.07139004,"The company is at high risk of experiencing material financial impacts from ESG factors, due to its high exposure and strong management of material ESG issues. Notably, its overall risk is higher since it is materially exposed to more ESG issues than most companies in our universe. The company is noted for its strong corporate governance performance, which is reducing its overall risk. The company has experienced a moderate level of controversies. AGL Energy Ltd. (AGL) is one of Australia's largest producers and retailers of  electricity and gas, servicing 3.95 million residential and business customers,  or about one-third of the Australian market  as of FY2020. Its 11.2GW generation capacity comprises a portfolio of  base-load, peaking and intermediate generation plants across traditional  thermal generation as well as renewable sources. Australia has one of the world¡¯s most carbon-intensive energy systems,  with electricity generation representing about one-third of the country¡¯s  footprint. AGL is Australia¡¯s largest GHG emitter, generating 85% of its  electricity output from coal. The company is therefore highly exposed to  material carbon-related risks. AGL¡¯s asset portfolio is scheduled to undergo a  significant shift from coal power to renewables, as well as peaking and storage  capacity over the coming decades. During this transition period,  decommissioning and rehabilitation of operations coupled with development of  new projects expose the company to potential community relations issues.  Moreover, AGL operates power stations which emit non-carbon air pollutants and  generate contaminating waste, exposing it to risks from environmental incidents  and potential non-compliance with regulatory requirements. The company's overall exposure is high and is moderately above subindustry average. Carbon - Own Operations, Emissions, Effluents and Waste and Community Relations  are notable material ESG issues. AGL has a board  committee that oversees strategy, management and performance on material ESG  issues, linked to executive remuneration. The company provides detailed  sustainability reporting, including a TCFD-aligned report on climate transition  risks and analyses of opportunities and scenarios. AGL has set out plans for  gradual decommissioning of all its coal-fired plants by 2050, with the first  scheduled for 2023. However, its generation portfolio is still heavily coal and  lignite-based and has not yet set intermediate emission reduction targets  and deadlines, lagging best practice. AGL demonstrates overall adequate  management of non-GHG air emissions and waste, as well as strong community  engagement initiatives. Nevertheless, it faces significant community scrutiny  and opposition, which recently led to the cancellation of a gas project in  Victoria, Australia, in 2021. The company's overall management of material ESG issues is strong.",none,moderate,2,0.25,11391.6743550892,9021.51542672734,5627.0732845266,154.895801386031,9547.13641346812,0.205759236607256,0.0117915315841044,0.194044277469566,0.316204166983397,0.04075368160836,1.23048515920232,0.212014838467193,420.125
6,France,Multi-Line Insurance & Brokerage,Financials,2.063616652,6.190849956,"The company is at low risk of experiencing material financial impacts from ESG factors, due to its medium exposure and strong management of material ESG issues. The company is noted for its strong corporate governance performance, which is reducing its overall risk. Although the company has a moderate level of controversies, its favourable risk assessment is primarily due to its above average policies and programmes. AXA is a French insurance company and asset manager with global subsidiaries and offices. The company offers property-casualty insurance for individual and business clients, as well as life and health insurance policies encompassing savings and retirement products. AXA is one of world¡¯s largest asset managers in FY2019, with EUR 969 bn in assets under management for its insurance companies, their clients and third parties. It has 160,000 employees in 57 countries, serving 108 million clients. AXA plans to use its existing opportunities in Asia to take advantage of the growing middle class, where demand for insurance products is increasing. The expansion into countries that score poorly on Transparency International¡¯s Corruption Perceptions Index (CPI) may test AXA¡¯s commitment to Business Ethics. The dynamics of the health insurance market, including potential rises in pandemics and changing life expectancies, will bring new challenges to the group¡¯s already developed ESG Integration efforts. It also faces exposures to climate change on the liability and asset sides of its balance sheets. According to broker Willis Towers Watson, re/insurers will face COVID-19 claims ranging between USD 30 bn to USD 97 bn. Thus, AXA will be at risk of increased litigation for denied claims related to the virus. It will also need to continue protecting the data of its clients. The company's overall exposure is medium and is moderately above subindustry average. Product Governance, ESG Integration - Financials and Business Ethics  are notable material ESG issues. AXA¡¯s business and CSR strategies appear to have been merged into a holistic understanding of the risks and opportunities the company faces. This is particularly evident within ESG Integration, which AXA has excelled at since it introduced its Global RI policy in 2013, and where it demonstrates leadership through specific divestments, such as the coal industry in 2015 and the tobacco industry in 2016; AXA is also a founding signatory to the UN Principles for Sustainable Insurance. For Business Ethics, the firm has implemented strategic lines of defence to prevent breaches and its policies are considered best practice. AXA has limited disclosures on cybersecurity risks, though, which have risen during the COVID-19 pandemic. Furthermore, it does not report on customer complaints received on its products each year, making it more difficult to track its product management performance. The company's overall management of material ESG issues is strong.",none,moderate,0,0,923578.967502219,132472.967351886,72824.7377953015,5791.95594744618,83249.7959211084,0.0096069844870977,0.0837134724972355,0.119976439037947,0.478772216364132,0.0423466872985306,419.060474865996,0.058904599833786,420.125
7,Spain,Industrials,Industrials,0.066379074,0.066379074,"In consideration of the company's high exposure and average management, we view the company to be at high risk of material financial impacts driven by ESG factors. Abengoa SA together with its subsidiaries provides technology solutions for the energy and environment sectors in Spain and rest of Europe, North America, Brazil and the rest of South America, and internationally. Companies in this subindustry face the highest risk exposure in the following material ESG issues: Bribery and Corruption, Human Capital and Carbon - Own Operations. The company's disclosure is very strong, signaling a high degree of accountability to investors and the public. It has some initiatives to manage risks related to material ESG issues, however, the initiatives are not sufficient to manage all of its risks. However, the company has been involved in numerous significant ESG-related controversies.",none,high,1,0.125,16516.4581984689,5002.29836539732,1430.03708982274,159.859321156444,8214.20669302243,0.105164946591554,-2.028789822,-0.173065723,8.16968442104408,0.0883842435364868,26.34003671,0.673977522512397,396.1875
8,Luxembourg,Food Products,Consumer Staples,1805.69356856667,5417.080706,"In consideration of the company's high exposure and average management, we view the company to be at severe risk of material financial impacts driven by ESG factors. It is a Luxembourg-based agricultural company. Companies in this subindustry face the highest risk exposure in the following material ESG issues: Supply Chain, Water Use and Human Capital.  The company's disclosure is strong, signaling a high degree of accountability to investors and the public. It has some initiatives to manage risks related to material ESG issues, however, the company lacks policies and programmes in key areas. Nevertheless, the company has not been implicated in any significant ESG-related controversies.",none,no,0,0,2199.80139583333,908.558583333333,1043.10929166667,32.2237916666667,1789.79820417365,0.194853595748473,0.0211593287091473,0.2076099931081,0.588776271637439,0.193423014213993,1.03914166776297,0.449566552890476,420.125
9,South Korea,Household & Personal Products,Consumer Staples,129.6557907,129.6557907,"In consideration of the company's medium exposure and weak management, we view the company to be at high risk of material financial impacts driven by ESG factors.Aekyung Industrial Co Ltd manufactures, exports and sells beauty, home care and healthcare products.Companies in this subindustry typically face the highest risk exposure to the material ESG issues E&S Impact of Products and Services, Resource Use, and Business Ethics.The company's disclosure is poor, signaling inadequate accountability to investors and the public.It lacks policies and programmes to manage risks related to its material ESG issues.Additionally, the company has been involved in a moderate level of ESG-related controversies.",none,moderate,0,0,361.601361497671,540.022161679794,271.766669687884,26.3022183882527,545.980685424807,0.818969042558891,0.128105384656293,0.228337492975953,0.057779196353112,1.04149171345668,0.97905384968875,0.0315105471943728,450
10,Singapore,Metals and Mining - Non-Precious Metals,Materials,1975.803529,1975.803529,"In consideration of the company's medium exposure and average management, we view the company to be at severe risk of material financial impacts driven by ESG factors. Agritrade Resources Ltd is active in the Coal industry. Companies in this subindustry face the highest risk exposure in the following material ESG issues: Community Relations, Health and Safety and Carbon - Own Operations. The company's disclosure is poor, signaling inadequate accountability to investors and the public. It has some initiatives to manage risks related to material ESG issues, however, the company lacks policies and programmes in key areas. Nevertheless, the company has not been implicated in any significant ESG-related controversies.",none,no,0,0,929.62500102806,185.466506727598,449.558909832072,48.9297053087296,537.598663824151,0.0993698365553026,0.0904558837805317,0.135555583221058,0.266174794093783,0.114307143773458,0.611579677484694,0.141808721975094,396.125
