Common_Name,Organisation.name,Country,Sector,Primary.activity,Primary.sector,Primary.industry,Rating_year,Score,Score2,Year_TRASE,Country_trade,Commodity,DF_E,Market_Capital,gvkey,assets,sales,book_equity,net_income,enterprise_value,gp_at,ni_be,ope_be,debt_bev,cash_lt,lt_ppen,debt_at,age,News_count,me
Company_001,Company_001,United States,Industrials,Specialty chemicals,Chemicals,Materials,2018,B,6,2018,Indonesia,palm oil,0.427260951,123571.791186685,7435,37144.25,31933.25,11321.5,4724,133905.584042678,0.467537151531822,0.416552776147227,0.766129569324173,0.645473737085046,0.143643462616807,2.94719195275039,0.375126958191511,870.5,0,123649.584042678
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2014,C,4,2014,Brazil/ Paraguay,soy,71007.79031,7868765.589,1722,41708.6666666667,88767.6666666667,21593.3333333333,1444,30651.3477416233,0.116212385945304,0.0668555348642018,0.126932834921532,0.307934929007558,0.303447454271042,2.13007536821692,0.144900430816611,1062.5,1,30115.6038440479
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2015,D,3,2015,Brazil/ Argentina/ Paraguay,soy,98059.52561,11589397.53,1722,42032.75,79341.25,20871.25,2242.5,27231.5110649001,0.136872262792414,0.107810575996358,0.170006663692153,0.333641215102219,0.310943451735888,2.29131844382866,0.146697189177439,1074.5,0,28097.2610649001
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2016,B,6,2016,Brazil/ Argentina/ Paraguay,soy,67508.69005,9665188.793,1722,40203.25,66864,19465.75,1687.75,24428.3632246656,0.120349299986415,0.0866848531413082,0.129083821879823,0.367731983021305,0.28695972468274,2.26633177886804,0.165986839213765,1086.5,0,24164.8632246656
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2017,C,4,2017,Brazil/ Argentina/ Paraguay,soy,88142.42893,12145278.33,1722,39267.25,62462.5,18960.5,1405,25201.9960159493,0.116805060956362,0.0740693597944912,0.120221284215856,0.383881714192764,0.275588442339869,2.22997638932744,0.179547239710706,1098.5,0,24190.2460159493
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2018,B-,5,2018,Brazil/ Argentina/ Paraguay,soy,88663.48079,13807923.72,1722,39696.75,61736,19542.75,1603.5,27867.9432042354,0.114491249733171,0.0819609769903519,0.112753647230185,0.377684925781428,0.25614532520214,2.12137332329335,0.197856484767853,1110.5,0,25456.4432042354
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2019,B,6,2019,Brazil/ Argentina/ Paraguay,soy,49276.05411,14809942.16,1722,41566,64068,20101.25,1765.5,27289.2002992954,0.122095342475338,0.0879294429571503,0.123329904731585,0.407216946206686,0.248418267456028,2.14581402779914,0.223085106405402,1122.5,8,23551.7002992954
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2020,B,6,2020,Brazil,soy,31204.69473,12076785.93,1722,44634.25,64389.5,20379,1469.25,28000.7051873681,0.114691986271485,0.0720243956981115,0.10814371878794,0.465825663840553,0.258571567422546,2.32822104398292,0.241768387337994,1134.5,5,23848.9551873681
Company_002,Company_002,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2020,B,6,2020,Indonesia,palm oil,88.02179638,5657.036826,1722,44634.25,64389.5,20379,1469.25,28000.7051873681,0.114691986271485,0.0720243956981115,0.10814371878794,0.465825663840553,0.258571567422546,2.32822104398292,0.241768387337994,1134.5,5,23848.9551873681
Company_003,Company_003,Australia,Utilities,Coal generation,Thermal power generation,Power generation,2020,B,6,2020,Brazil,soy,0.001268669,6841.73507888032,100251,9754.69224431472,8853.58142929152,5468.02077134622,662.479364154312,8805.02505321942,0.262433443823803,0.121310988575454,0.254067009981993,0.28681663782369,0.0334163857351667,0.977755002455523,0.215715292546693,438.5,0,6847.11572564573
Company_003,Company_003,United States,Utilities,Coal generation,Thermal power generation,Power generation,2015,B,6,2015,Brazil,beef,57.07012137,6614.02012436667,100251,12810.8835440383,8950.45907106617,7187.82310672919,407.569468820927,10840.9369871514,0.174874581999511,0.0558125615239305,0.135099655289653,0.306400625329129,0.0462729708694025,0.902486281755135,0.2383365750745,378.5,3,8055.35365296371
Company_004,Company_004,France,Financials,Insurance,Financial services,Services,2015,B,6,2015,Brazil,chicken,5.762396902,62482.4112043697,63120,1005916.09948348,152273.326452736,76951.2245635322,6231.27125430675,82941.1158505015,0.0094183002028991,0.0810446171041599,0.120167051837669,0.368085070981359,0.0294815608772973,576.579254795137,0.0403393347895461,378.5,0,62504.2261539626
Company_004,Company_004,France,Financials,Insurance,Financial services,Services,2016,B,6,2016,Brazil,chicken,0.412973804,55449.4140598892,63120,1005313.94459755,129776.842627715,79391.2144539796,6366.79071097934,75754.6406421711,NA,0.0802249974088802,0.125290233443318,0.41169651575984,0.0363600898033962,568.899418014719,0.0460143409922959,390.5,0,55475.0661672203
Company_004,Company_004,France,Financials,Insurance,Financial services,Services,2018,A-,7,2018,Brazil,chicken,0.01547925,64156.9242719834,63120,1055610.37737904,151341.060796196,82796.1004922373,7041.26497004822,68297.3674341387,0.00948684104562553,0.0851844209543214,0.105610494666772,0.461818067986533,0.0487418868079792,572.480868179411,0.0471270799798239,414.5,0,64173.8825523494
Company_005,Company_005,Japan,Materials,Inorganic base chemicals,Chemicals,Materials,2017,D,3,2017,Brazil,chicken,0.000326,3798.26828109661,220626,5614.41476154874,5947.58671108495,2396.3703659631,189.815708522447,4973.11624740825,0.276510500834249,0.0827323902760858,0.263695967928634,0.402756379662594,0.0939829110013135,1.38829402226251,0.259655831410254,402.5,0,3802.44174509942
Company_005,Company_005,Japan,Materials,Inorganic base chemicals,Chemicals,Materials,2018,B-,5,2018,Brazil,chicken,0.048972989,3645.37072041237,220626,6165.55045354472,6555.6801127235,2562.89412527692,218.714931923313,5053.76416152315,0.268980202668617,0.0846176343661271,0.247818469044621,0.412049915781835,0.0701240681616589,1.47474466385481,0.265958523700373,414.5,0,3645.71530837929
Company_006,Company_006,Japan,Consumer Staples,Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture",2015,A,8,2015,Brazil,chicken,9.603994836,15505.930408412,102950,16571.2166359517,15245.5582407957,7993.41123691676,579.204614022178,18972.2884755537,0.390239297695271,0.0737704756575775,0.214768173719009,0.357333589531305,0.056798222094812,1.69732612088899,0.239689935811004,378.5,0,15503.224942326
Company_006,Company_006,Japan,Consumer Staples,Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture",2016,A,8,2016,Brazil,chicken,0.481802772,15875.3253092716,102950,16193.8642712529,15305.5468411567,7895.7994137748,620.708841935891,19160.8913560969,0.409493384439977,0.0800807573966492,0.216358061942478,0.346377114750819,0.0518994029473437,1.71951630175331,0.231299568758659,390.5,0,15868.4987439859
Company_006,Company_006,Japan,Consumer Staples,Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture",2017,A-,7,2017,Brazil,chicken,0.057441635,19910.1480816091,102950,20393.344102499,14835.2019330272,8170.57185214725,732.498006222491,26046.6657246773,0.337260478195323,0.096053158465474,0.227351608695163,0.449040087373808,0.0433964497918143,2.29840645969474,0.30607895787584,402.5,0,19930.8661205655
Company_006,Company_006,Japan,Consumer Staples,Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture",2018,A,8,2018,Brazil,chicken,0.06707675,23014.5487833683,102950,28902.551128852,17540.487754726,10848.1349570342,1130.09645362124,33765.0330588447,0.266338991347468,0.106413142467598,0.217968513028545,0.552379916611209,0.0305984622487976,3.0409061983624,0.392368357917377,414.5,0,23016.3011543951
Company_007,Company_007,United Arab Emirates,Financials,Banks,Financial services,Services,2020,B,6,2020,Indonesia,palm oil,45.04042878,20179.2506220693,252278,119168.591505267,10823.5530104124,11838.3400975095,461.104037255288,34128.499241668,NA,0.0384853733349785,0.0769704752999799,0.721213152526131,0.0851405803890175,181.66157363139,0.154461232590488,438.5,0,20171.1341488719
Company_008,Company_008,Germany,Materials,Specialty chemicals,Chemicals,Materials,2015,A-,7,2015,Argentina,soy,17.33696527,80429.8654508393,17436,86213.4877948895,92659.5711897506,36925.425381298,6131.15892993736,96891.4386341312,0.310343461356749,0.166023474557021,0.308383892331395,0.381469563075408,0.0480554029730831,1.91890910047106,0.219475359905583,378.5,4,80477.9079038323
Company_008,Company_008,Germany,Materials,Specialty chemicals,Chemicals,Materials,2016,A-,7,2016,Argentina,soy,6.732430752,73114.711539592,17436,80459.1081832632,75103.2088803989,36629.6312203858,4797.08885995064,88064.5271914564,0.307567360901025,0.131055078409716,0.291320931319666,0.366903587152258,0.0592367932691939,1.69078490100698,0.219726283602339,390.5,1,73151.7618137159
