Common_Name,Issuer_Name,Country,Industry,Sector,Year_MSCI,Rating_year,Rating_month,Market_Capital,Mark.Cap_type,Overall_Company_Rating,Industry_Adjusted_Score,Weighted_Average_Score,E_score,E_weight,S_score,S_weight,G_score,G_weight,Year_TRASE,Country_trade,Commodity,DF_E,volume,gvkey,assets,sales,book_equity,net_income,enterprise_value,gp_at,ni_be,ope_be,debt_bev,cash_lt,lt_ppen,debt_at,age,News_count,me
Company_001,Company_001,United States,Industrial Conglomerates,Industrials,2019,2018,8,124000,original,AAA,10,6.9,7.2,40,5.2,20,7.3,40,2018,Indonesia,palm oil,0.427260951,16.93858016,7435,37144.25,31933.25,11321.5,4724,133905.584042678,0.467537151531822,0.416552776147227,0.766129569324173,0.645473737085046,0.143643462616807,2.94719195275039,0.375126958191511,870.5,0,123649.584042678
Company_002,Company_002,Sweden,Food Products,Consumer Staples,2019,2018,5,3836.642756,original,AA,8.2,5.5,4.1,41,6.1,40,7.2,19,2018,Indonesia,palm oil,0.533124824,2284.94694,215060,2095.511024,3157.00137882785,1006.38316177377,144.343044863627,4259.29679264421,0.359764310162243,0.14340350212851,0.261056214669862,0.331057915049581,0.066503043374528,1.81393764233793,0.207103908997484,414.5,1,3901.12977486399
Company_002,Company_002,Sweden,Food Products,Consumer Staples,2020,2019,9,4920.793915,original,AA,7.4,5.2,3.5,43,6.6,38,6,19,2019,Indonesia,palm oil,38.66218678,1679.997709,215060,2085.98705203261,3116.18010221996,1066.69416103422,152.060649217643,4806.18048184417,0.377277056096908,0.142621581299238,0.255900044126775,0.306399903840593,0.0782070544355409,1.6175976934908,0.197880431840245,426.5,1,4475.76596306276
Company_002,Company_002,Sweden,Food Products,Consumer Staples,2021,2020,9,4736.344771,original,AA,7.7,5.3,3.8,41,7.1,26,5.6,33,2020,Indonesia,palm oil,796.2839801,61439.45895,215060,2343.59242103446,3003.84931611577,1132.73805636727,156.969362286481,5062.80228687632,0.345472532601149,0.138603514399845,0.250658252074256,0.357039141127493,0.0974796578937137,1.78550729625088,0.227885790477062,438.5,3,4652.14817144097
Company_003,Company_003,United States,Commercial Services & Supplies,Industrials,2018,2017,7,2484.247101,original,A,6.1,5.6,8.9,13,5.6,62,4,25,2017,Brazil,beef,8.388238609,64.63297336,1410,2350.59166666667,5205.625,952.425,75.4333333333333,2702.55066746902,0.246391154223817,0.0792320423841603,0.182468609362771,0.234961863778237,0.0365551390660058,15.7048721750996,0.117235801932402,666.5,0,2477.51733413569
Company_004,Company_004,United States,Food Products,Consumer Staples,2014,2013,12,NA,,BB,3.2,3.2,4.3,51.4,1.4,43.6,7,5,2013,Brazil,soy,61323.58178,6931767.55,1722,43340,89394.75,19916.25,1191.5,26880.5362214193,0.102564605101782,0.0620645027765935,0.12347567494344,0.408648565873765,0.225840588718528,2.31638487381256,0.209453834792989,1050.5,0,23455.7862214193
Company_004,Company_004,United States,Food Products,Consumer Staples,2015,2014,11,NA,,BB,3.6,3.5,4.2,55,1.3,38,10,7,2014,Brazil/ Paraguay,soy,71007.79031,7868765.589,1722,41708.6666666667,88767.6666666667,21593.3333333333,1444,30651.3477416233,0.116212385945304,0.0668555348642018,0.126932834921532,0.307934929007558,0.303447454271042,2.13007536821692,0.144900430816611,1062.5,1,30115.6038440479
Company_004,Company_004,United States,Food Products,Consumer Staples,2016,2015,11,NA,,BB,4.2,3.9,6,49,0.9,38,5.3,13,2015,Brazil/ Argentina/ Paraguay,soy,98059.52561,11589397.53,1722,42032.75,79341.25,20871.25,2242.5,27231.5110649001,0.136872262792414,0.107810575996358,0.170006663692153,0.333641215102219,0.310943451735888,2.29131844382866,0.146697189177439,1074.5,0,28097.2610649001
Company_004,Company_004,United States,Food Products,Consumer Staples,2017,2016,11,NA,,AA,7.2,5,6.9,49,2.2,38,5.7,13,2016,Brazil/ Argentina/ Paraguay,soy,67508.69005,9665188.793,1722,40203.25,66864,19465.75,1687.75,24428.3632246656,0.120349299986415,0.0866848531413082,0.129083821879823,0.367731983021305,0.28695972468274,2.26633177886804,0.165986839213765,1086.5,0,24164.8632246656
Company_004,Company_004,United States,Food Products,Consumer Staples,2018,2017,12,NA,,A,5.8,4.6,5.8,48,2.9,36,4.7,16,2017,Brazil/ Argentina/ Paraguay,soy,88142.42893,12145278.33,1722,39267.25,62462.5,18960.5,1405,25201.9960159493,0.116805060956362,0.0740693597944912,0.120221284215856,0.383881714192764,0.275588442339869,2.22997638932744,0.179547239710706,1098.5,0,24190.2460159493
